rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
2177,Kepler-208,e,Kepler-208 e,Transit,4,16.25945800,0.132000,,,,,0.132,,0,1,0,1,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,856.00,13.749,Kepler-band,13.538,6092.00,,1.31,2014-05-14,1,0,0,0,0,0,1.54000e-01,,,,,,,,,,,1.480,0.014,,0.1683000,2454945.014250,BJD,0.2100,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,35,12,http://exoplanet.eu/catalog/kepler-208_e/,http://exoplanets.org/detail/Kepler-208_e,2014-03,,,19.59268040,75.563879,10.528938,310.509264,62.647651,,1.26,793.01,0.300,-8.800,8.800,0.300,-8.800,8.800,,,,4.26,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.547,12.309,12.210,12.185,12.234,12.029,9.395,,,,,,,,,,,,12,,,,,0.238,0.099,0.337,,,,5
2178,Kepler-209,b,Kepler-209 b,Transit,2,16.08784500,0.122000,,,,,0.202,,0,1,0,1,19h24m40.69s,291.169537,+42d38m26.9s,42.640812,584.00,13.998,Kepler-band,13.952,5513.00,,0.94,2014-05-14,1,0,0,0,0,0,2.09000e-01,,,,,,,,,,,2.260,0.021,,0.1199000,2455005.813390,BJD,0.0800,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,38,12,http://exoplanet.eu/catalog/kepler-209_b/,http://exoplanets.org/detail/Kepler-209_b,2014-03,,,19.41130247,74.755831,12.372292,306.431013,63.427193,,1.70,586.68,-10.100,-17.900,20.600,-10.100,-17.900,20.600,,,,4.47,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.797,12.432,12.362,12.304,12.367,11.978,9.302,,,,,,,,,,,,14,,,,,0.365,0.070,0.435,,,,5
2179,Kepler-209,c,Kepler-209 c,Transit,2,41.74988200,0.231000,,,,,0.277,,1,1,0,1,19h24m40.69s,291.169537,+42d38m26.9s,42.640812,584.00,13.998,Kepler-band,13.952,5513.00,,0.94,2014-05-14,1,0,0,0,0,0,3.96000e-01,,,,,,,,,,,3.100,0.028,,0.2346000,2454986.839860,BJD,0.5800,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,38,12,http://exoplanet.eu/catalog/kepler-209_c/,http://exoplanets.org/detail/Kepler-209_c,2014-03,,,19.41130247,74.755831,12.372292,306.431013,63.427193,,1.70,586.68,-10.100,-17.900,20.600,-10.100,-17.900,20.600,,,,4.47,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.797,12.432,12.362,12.304,12.367,11.978,9.302,,,,,,,,,,,,14,,,,,0.365,0.070,0.435,,,,5
2180,Kepler-21,b,Kepler-21 b,Transit,1,2.78578000,0.042717,0.020000,83.200,0.01598,Mass,0.146,6.40000,0,1,0,2,19h09m26.84s,287.361816,+38d42m50.5s,38.714016,113.00,8.250,V (Johnson),8.128,6305.00,1.41,1.90,2016-10-06,1,1,0,0,0,0,3.78000e-01,2456797.900000,-15.0000,1.990,2025,,0.01598,,5.08000,,5.08000,1.639,0.015,0.006217,0.1496000,2456798.718800,BJD,0.5840,,4.929000,0.00788,<a refstr=L_OACUTE_PEZ_MORALES_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..204L target=ref>L&oacute;pez-Morales et al. 2016</a>,2012,<a refstr=HOWELL_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2012ApJ...746..123H target=ref> Howell et al. 2012 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,87,24,http://exoplanet.eu/catalog/kepler-21_b/,http://exoplanets.org/detail/Kepler-21_b,2012-02,HD 179070,HIP 94112,19.15745443,69.856227,13.336874,298.186326,60.465573,8.86,9.19,108.86,28.000,28.600,40.000,28.000,28.600,40.000,-19.10,3.60,F6 IV,4.03,0.715,0.2870,-0.030,[Fe/H],3.030,8.4000,,,,,1,0,1,0,0,3,0,,8.250,8.768,,,7.229,7.031,6.945,6.897,6.926,6.955,6.957,,,,,,,,,,,,16,,0.518,,,0.198,0.086,0.284,,,,7
2181,Kepler-210,b,Kepler-210 b,Transit,2,2.45323400,0.032000,,,,,0.262,,0,1,0,1,19h30m00.81s,292.503389,+43d04m59.3s,43.083149,242.00,13.822,Kepler-band,13.804,4559.00,,0.65,2014-05-14,1,0,0,0,0,0,1.32000e-01,,,,,,,,,,,2.940,0.027,,0.0728000,2455003.891530,BJD,0.7300,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,57,14,http://exoplanet.eu/catalog/kepler-210_b/,http://exoplanets.org/detail/Kepler-210_b,2014-03,,,19.50022593,75.600506,11.687410,308.824814,63.520628,,4.27,234.33,7.500,14.500,16.300,7.500,14.500,16.300,,6.00,M0 V,4.66,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,11.992,11.449,11.313,11.247,11.328,11.276,9.516,,,,,,,,,,,,14,,,,,0.543,0.136,0.679,,,,5
2182,Kepler-210,c,Kepler-210 c,Transit,2,7.97251300,0.070000,,,,,0.323,,1,1,0,1,19h30m00.81s,292.503389,+43d04m59.3s,43.083149,242.00,13.822,Kepler-band,13.804,4559.00,,0.65,2014-05-14,1,0,0,0,0,0,2.89000e-01,,,,,,,,,,,3.620,0.033,,0.1209000,2455004.584360,BJD,0.4000,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,57,14,http://exoplanet.eu/catalog/kepler-210_c/,http://exoplanets.org/detail/Kepler-210_c,2014-03,,,19.50022593,75.600506,11.687410,308.824814,63.520628,,4.27,234.33,7.500,14.500,16.300,7.500,14.500,16.300,,6.00,M0 V,4.66,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,11.992,11.449,11.313,11.247,11.328,11.276,9.516,,,,,,,,,,,,14,,,,,0.543,0.136,0.679,,,,5
2183,Kepler-211,b,Kepler-211 b,Transit,2,4.13857500,0.048000,,,,,0.112,,0,1,0,1,19h01m45.40s,285.439151,+43d10m06.5s,43.168484,322.00,13.283,Kepler-band,13.273,5123.00,,0.82,2014-05-14,1,0,0,0,0,0,1.49000e-01,,,,,,,,,,,1.260,0.012,,0.0928000,2454965.016320,BJD,0.0200,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,42,13,http://exoplanet.eu/catalog/kepler-211_b/,http://exoplanets.org/detail/Kepler-211_b,2014-03,,,19.02927673,73.502829,16.424140,297.506723,65.140210,,3.20,312.14,-4.000,5.900,7.100,-4.000,5.900,7.100,,,,4.55,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,11.927,11.488,11.447,11.369,11.428,11.179,8.723,,,,,,,,,,,,14,,,,,0.439,0.041,0.480,,,,5
2184,Kepler-211,c,Kepler-211 c,Transit,2,6.04045000,0.062000,,,,,0.115,,0,1,0,1,19h01m45.40s,285.439151,+43d10m06.5s,43.168484,322.00,13.283,Kepler-band,13.273,5123.00,,0.82,2014-05-14,1,0,0,0,0,0,1.93000e-01,,,,,,,,,,,1.290,0.012,,0.0855000,2455005.594350,BJD,0.0400,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,44,13,http://exoplanet.eu/catalog/kepler-211_c/,http://exoplanets.org/detail/Kepler-211_c,2014-03,,,19.02927673,73.502829,16.424140,297.506723,65.140210,,3.20,312.14,-4.000,5.900,7.100,-4.000,5.900,7.100,,,,4.55,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,11.927,11.488,11.447,11.369,11.428,11.179,8.723,,,,,,,,,,,,14,,,,,0.439,0.041,0.480,,,,5
2185,Kepler-212,b,Kepler-212 b,Transit,2,16.25758200,0.133000,,,,,0.097,,0,1,0,1,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,597.00,13.178,Kepler-band,12.987,5852.00,,1.46,2014-05-14,1,0,0,0,0,0,2.23000e-01,,,,,,,,,,,1.090,0.010,,0.2748000,2454972.647740,BJD,0.1900,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,31,11,http://exoplanet.eu/catalog/kepler-212_b/,http://exoplanets.org/detail/Kepler-212_b,2014-03,,,19.17472227,74.115203,14.945616,301.108122,64.689551,,1.43,701.04,-2.300,-8.500,8.800,-2.300,-8.500,8.800,-7.08,,,4.18,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,11.931,11.699,11.620,11.514,11.565,11.524,9.390,,,,,,,,,,,,12,,,,,0.232,0.079,0.311,,,,5
2186,Kepler-212,c,Kepler-212 c,Transit,2,31.80517400,0.207000,,,,,0.244,,0,1,0,1,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,597.00,13.178,Kepler-band,12.987,5852.00,,1.46,2014-05-14,1,0,0,0,0,0,3.47000e-01,,,,,,,,,,,2.740,0.025,,0.3465000,2455023.248300,BJD,0.1500,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,35,12,http://exoplanet.eu/catalog/kepler-212_c/,http://exoplanets.org/detail/Kepler-212_c,2014-03,,,19.17472227,74.115203,14.945616,301.108122,64.689551,,1.43,701.04,-2.300,-8.500,8.800,-2.300,-8.500,8.800,-7.08,,,4.18,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,11.931,11.699,11.620,11.514,11.565,11.524,9.390,,,,,,,,,,,,12,,,,,0.232,0.079,0.311,,,,5
2187,Kepler-213,b,Kepler-213 b,Transit,2,2.46236000,0.036000,,,,,0.145,,0,1,0,1,19h23m17.80s,290.824182,+44d38m49.9s,44.647186,578.00,13.648,Kepler-band,13.602,5696.00,,1.20,2014-05-14,1,0,0,0,0,0,6.23000e-02,,,,,,,,,,,1.620,0.015,,0.0737000,2455004.839860,BJD,0.2200,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,35,11,http://exoplanet.eu/catalog/kepler-213_b/,http://exoplanets.org/detail/Kepler-213_b,2014-03,,,19.38827880,76.506869,13.456312,307.420026,65.403506,,1.55,646.74,0.600,23.100,23.100,0.600,23.100,23.100,,,,4.31,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.477,12.170,12.122,12.120,12.164,12.451,9.241,,,,,,,,,,,,14,,,,,0.307,0.048,0.355,,,,5
2188,Kepler-213,c,Kepler-213 c,Transit,2,4.82296200,0.057000,,,,,0.209,,0,1,0,1,19h23m17.80s,290.824182,+44d38m49.9s,44.647186,578.00,13.648,Kepler-band,13.602,5696.00,,1.20,2014-05-14,1,0,0,0,0,0,9.86000e-02,,,,,,,,,,,2.340,0.021,,0.0345000,2454967.436490,BJD,0.7500,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,35,11,http://exoplanet.eu/catalog/kepler-213_c/,http://exoplanets.org/detail/Kepler-213_c,2014-03,,,19.38827880,76.506869,13.456312,307.420026,65.403506,,1.55,646.74,0.600,23.100,23.100,0.600,23.100,23.100,,,,4.31,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.477,12.170,12.122,12.120,12.164,12.451,9.241,,,,,,,,,,,,14,,,,,0.307,0.048,0.355,,,,5
2189,Kepler-214,b,Kepler-214 b,Transit,2,15.66054400,0.130000,,,,,0.233,,0,1,0,1,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,804.00,13.949,Kepler-band,13.906,6169.00,,1.35,2014-05-14,1,0,0,0,0,0,1.62000e-01,,,,,,,,,,,2.610,0.024,,0.2919000,2454979.348950,BJD,0.0300,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,38,12,http://exoplanet.eu/catalog/kepler-214_b/,http://exoplanets.org/detail/Kepler-214_b,2014-03,,,18.98365673,75.051747,17.538882,297.460848,66.994045,,0.80,1252.07,1.400,5.900,6.000,1.400,5.900,6.000,,,,4.25,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.941,12.678,12.607,12.600,12.641,12.953,9.385,,,,,,,,,,,,14,,,,,0.263,0.071,0.334,,,,5
2190,Kepler-214,c,Kepler-214 c,Transit,2,28.77980000,0.194000,,,,,0.190,,0,1,0,1,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,804.00,13.949,Kepler-band,13.906,6169.00,,1.35,2014-05-14,1,0,0,0,0,0,2.41000e-01,,,,,,,,,,,2.130,0.019,,0.3251000,2455026.304470,BJD,0.2800,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,38,12,http://exoplanet.eu/catalog/kepler-214_c/,http://exoplanets.org/detail/Kepler-214_c,2014-03,,,18.98365673,75.051747,17.538882,297.460848,66.994045,,0.80,1252.07,1.400,5.900,6.000,1.400,5.900,6.000,,,,4.25,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.941,12.678,12.607,12.600,12.641,12.953,9.385,,,,,,,,,,,,14,,,,,0.263,0.071,0.334,,,,5
2191,Kepler-215,b,Kepler-215 b,Transit,4,9.36067200,0.084000,,,,,0.145,,0,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,467.00,13.580,Kepler-band,13.555,5739.00,,1.03,2014-05-14,1,0,0,0,0,0,1.80000e-01,,,,,,,,,,,1.620,0.015,,0.1265000,2455004.967190,BJD,0.5800,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,41,13,http://exoplanet.eu/catalog/kepler-215_b/,http://exoplanets.org/detail/Kepler-215_b,2014-03,,,19.66490060,78.356824,11.072873,314.412667,64.849304,,2.03,492.90,4.900,3.300,5.900,4.900,3.300,5.900,,,,4.36,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.417,12.065,11.996,11.956,12.011,12.079,9.679,,,,,,,,,,,,14,,,,,0.352,0.069,0.421,,,,5
2192,Kepler-215,c,Kepler-215 c,Transit,4,14.66710800,0.113000,,,,,0.158,,0,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,467.00,13.580,Kepler-band,13.555,5739.00,,1.03,2014-05-14,1,0,0,0,0,0,2.42000e-01,,,,,,,,,,,1.770,0.016,,0.1606000,2454978.423810,BJD,0.8500,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,42,13,http://exoplanet.eu/catalog/kepler-215_c/,http://exoplanets.org/detail/Kepler-215_c,2014-03,,,19.66490060,78.356824,11.072873,314.412667,64.849304,,2.03,492.90,4.900,3.300,5.900,4.900,3.300,5.900,,,,4.36,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.417,12.065,11.996,11.956,12.011,12.079,9.679,,,,,,,,,,,,14,,,,,0.352,0.069,0.421,,,,5
2193,Kepler-215,d,Kepler-215 d,Transit,4,30.86442300,0.185000,,,,,0.213,,1,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,467.00,13.580,Kepler-band,13.555,5739.00,,1.03,2014-05-14,1,0,0,0,0,0,3.96000e-01,,,,,,,,,,,2.390,0.022,,0.1133000,2455005.933090,BJD,0.1500,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,44,13,http://exoplanet.eu/catalog/kepler-215_d/,http://exoplanets.org/detail/Kepler-215_d,2014-03,,,19.66490060,78.356824,11.072873,314.412667,64.849304,,2.03,492.90,4.900,3.300,5.900,4.900,3.300,5.900,,,,4.36,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.417,12.065,11.996,11.956,12.011,12.079,9.679,,,,,,,,,,,,14,,,,,0.352,0.069,0.421,,,,5
2194,Kepler-215,e,Kepler-215 e,Transit,4,68.16101000,0.314000,,,,,0.156,,0,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,467.00,13.580,Kepler-band,13.555,5739.00,,1.03,2014-05-14,1,0,0,0,0,0,6.72000e-01,,,,,,,,,,,1.750,0.016,,0.2356000,2455020.032470,BJD,0.2800,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,41,13,http://exoplanet.eu/catalog/kepler-215_e/,http://exoplanets.org/detail/Kepler-215_e,2014-03,,,19.66490060,78.356824,11.072873,314.412667,64.849304,,2.03,492.90,4.900,3.300,5.900,4.900,3.300,5.900,,,,4.36,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.417,12.065,11.996,11.956,12.011,12.079,9.679,,,,,,,,,,,,14,,,,,0.352,0.069,0.421,,,,5
2195,Kepler-216,b,Kepler-216 b,Transit,2,7.69364100,0.079000,,,,,0.210,,0,1,0,1,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,913.00,13.998,Kepler-band,13.961,6091.00,,1.26,2014-05-14,1,0,0,0,0,0,8.65000e-02,,,,,,,,,,,2.350,0.022,,0.2104000,2455009.501060,BJD,0.7200,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,38,12,http://exoplanet.eu/catalog/kepler-216_b/,http://exoplanets.org/detail/Kepler-216_b,2014-03,,,19.58187147,78.785122,12.264282,313.357806,66.033902,,0.81,1229.44,-4.900,-6.000,7.700,-4.900,-6.000,7.700,,,,4.28,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.956,12.695,12.621,12.631,12.639,12.830,9.335,,,,,,,,,,,,14,,,,,0.261,0.074,0.335,,,,5
2196,Kepler-216,c,Kepler-216 c,Transit,2,17.40666900,0.136000,,,,,0.271,,0,1,0,1,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,913.00,13.998,Kepler-band,13.961,6091.00,,1.26,2014-05-14,1,0,0,0,0,0,1.49000e-01,,,,,,,,,,,3.040,0.028,,0.2862000,2455004.006070,BJD,0.0900,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,38,12,http://exoplanet.eu/catalog/kepler-216_c/,http://exoplanets.org/detail/Kepler-216_c,2014-03,,,19.58187147,78.785122,12.264282,313.357806,66.033902,,0.81,1229.44,-4.900,-6.000,7.700,-4.900,-6.000,7.700,,,,4.28,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.956,12.695,12.621,12.631,12.639,12.830,9.335,,,,,,,,,,,,14,,,,,0.261,0.074,0.335,,,,5
2197,Kepler-217,b,Kepler-217 b,Transit,3,5.37494300,0.065000,,,,,0.199,,0,1,0,1,19h32m09.06s,293.037744,+46d16m39.0s,46.277508,1066.00,13.294,Kepler-band,13.121,6171.00,,1.80,2014-05-14,1,0,0,0,0,0,6.10000e-02,,,,,,,,,,,2.230,0.021,,0.1671000,2455003.933240,BJD,0.0200,,,,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a refstr=ROWE_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,34,12,http://exoplanet.eu/catalog/kepler-217_b/,http://exoplanets.org/detail/Kepler-217_b,2014-03,,,19.53584960,78.704307,12.758299,312.412107,66.357310,,0.88,1140.95,-1.800,0.800,2.000,-1.800,0.800,2.000,,,,4.03,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.319,12.176,12.103,12.054,12.064,12.224,9.251,,,,,,,,,,,,12,,,,,0.143,0.073,0.216,,,,5
