"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-02",,"72","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-03",,"47","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-04",,"55","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-05",,"65","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-06",,"63","48"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-07",,"70","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-08",,"69","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-09",,"72","47"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-10",,"79","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-11",,"84","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-12",,"74","53"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-13",,"60","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-14",,"65","53"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-15",,"76","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-16",,"61","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-17",,"61","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-18",,"62","49"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-19",,"64","47"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-20",,"76","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-21",,"87","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-22",,"85","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-23",,"89","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-24",,"71","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-25",,"80","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-26",,"66","55"
